区域,平台,类型,主要用户,核心功能,商业/落地场景,V2启发,来源
中国,飞象老师,教师AI创作/课件/命题,"K12/高校/职教教师","AI互动课件、AI命题、AI组题、大单元教案、资源广场","教师个人、学校采购、内容社区","用任务入口和案例广场降低教师使用门槛","https://www.feixianglaoshi.com/#/home?featureId=20"
中国,智谱中联,AI实训/人才培养平台,"高校、高职、学生、教务","AI智课、实训中心、能力图谱、岗位对接、班级管理","院校AI人才培养方案","建立课程-实训-评价-能力-就业闭环","https://zpzl.lhrj.cn/#/zhipuHome"
中国,课件帮,AI课件/数字人视频,"教师、企业内训、培训机构","AI生成PPT、PPT转数字人视频、智能配图、字幕、素材库","课件生产、培训视频、企业服务","教师端可内置课件/导学视频生成","https://kejian365.com/"
中国,章鱼·领会,智适应学习/职业实训,"职教学生、机构、企业岗位学习者","课程、训练、岗位路径、机构入驻、社区","IT/AI/大数据职业教育","岗位路径与课程/实训绑定","https://www.ailinghui.com/#/index/home"
中国,科大讯飞智慧教育/星火教育能力,教育大模型+区域/学校解决方案,"教育局、学校、教师、学生","智慧课堂、因材施教、作业/考试/学情、星火大模型教育应用","区域智慧教育、学校数字化","教师与学生数据闭环、区域级治理能力","https://edu.iflytek.com/"
中国,希沃/希沃教学大模型,教师AI助手+智慧课堂硬件生态,"K12学校、教师","AI备课、课堂互动、课件/白板生态、教学大模型","学校教学硬件+软件订阅","与课堂硬件/白板结合，提高进课堂频率","https://www.seewo.com/"
中国,好未来/学而思九章大模型 MathGPT,学科大模型/学习硬件,"K12学生、家长、教师","数学解题、个性化辅导、学习机/内容生态","C端学习硬件、在线学习","垂直学科模型和解题过程反馈","https://en.100tal.com/"
中国,网易有道/子曰教育大模型,学习硬件+教育大模型,"学生、家长、教师","词典笔、学习机、翻译、AI问答与学习辅助","C端硬件、学校/企业服务","多终端学习入口和语言学习能力","https://www.youdao.com/"
中国,松鼠Ai,自适应学习,"K12学生、教培机构","知识点诊断、自适应路径、个性化练习","线下学习中心/在线学习","用知识图谱和诊断题支撑个性化路径","https://squirrelai.com/"
中国,作业帮,AI学习/题库/拍搜,"K12学生、家长","拍照搜题、作业批改、学习机、题库练习","C端App/学习硬件","高频学习场景入口和题库资产","https://www.zybang.com/"
中国,学堂在线/雨课堂,高校在线课程与智慧教学,"高校教师、学生、教务","MOOC、课堂互动、学习数据、AI助教类能力","高校课程平台","参考高校课程组织与数据看板","https://www.xuetangx.com/"
中国,超星学习通/泛雅,高校LMS/资源平台,"高校、教师、学生","课程资源、作业考试、教学互动、学习数据","高校信息化平台","兼容既有LMS数据和教务流程","https://www.chaoxing.com/"
中国,百度智能云/文心教育方案,大模型+智慧教育解决方案,"教育局、学校、企业培训","文心大模型、知识库、智能问答、教育场景应用","B2B项目制/云服务","参考知识库和智能体平台化能力","https://cloud.baidu.com/solution/education.html"
中国,阿里云/钉钉/通义教育生态,通用大模型+协同平台,"学校、企业培训、教师","通义能力、钉钉协同、智能问答和办公提效","校园协同/企业培训","管理端与协同工作流比单点AI更重要","https://www.dingtalk.com/"
中国,腾讯教育/腾讯云智慧教育,云+音视频+教育应用,"学校、教育机构、区域教育","云课堂、音视频、数据平台、AI能力接入","区域/学校信息化","参考稳定音视频和云平台集成能力","https://cloud.tencent.com/solution/education"
海外,Khanmigo,AI导师/教师助手,"K12学生、教师、家长","苏格拉底式引导、写作/数学辅导、教师备课辅助","学校/家庭订阅、Khan Academy生态","学生端要引导思考而不是直接给答案","https://www.khanmigo.ai/"
海外,MagicSchool,教师AI工具箱,"K12教师、学校、学区","教案、评语、Rubric、改写、IEP、课堂材料等多工具","教师个人/学校版","教师工具要轻量、多模板、可复制","https://www.magicschool.ai/"
海外,SchoolAI,AI课堂空间/学生体验,"教师、学生、学区","Spaces、AI活动、学生对话监控、教师控制台","学校/学区","设计教师可监控的AI活动空间","https://schoolai.com/"
海外,Diffit,教师内容改编,"K12教师","根据主题/资料生成不同阅读水平材料、词汇、问题和活动","教师备课","同一实训内容可按学生水平自动分层","https://web.diffit.me/"
海外,Gradescope,AI辅助评分,"高校教师、助教、学生","作业收集、相似答案分组、Rubric评分、反馈","高校课程评价","结合Rubric、相似答案聚类和人工复核","https://www.gradescope.com/"
海外,Duolingo Max,AI语言学习,"语言学习者","Explain My Answer、Roleplay等AI互动练习","C端订阅","语言/沟通类实训可用角色扮演增强沉浸感","https://blog.duolingo.com/duolingo-max/"
海外,Coursera for Campus / AI能力,在线课程+AI学习支持,"高校、企业、学习者","在线课程、项目证书、学习路径、AI辅助学习/内容能力","高校/企业培训","课程市场和证书体系提升权威感","https://www.coursera.org/campus/"
海外,Carnegie Learning MATHia,自适应数学学习,"K12学生、教师","AI数学导师、自适应路径、过程数据","学校采购","STEM实训可借鉴细粒度知识追踪","https://www.carnegielearning.com/solutions/math/mathia/"
海外,CENTURY Tech,自适应学习平台,"K12学校、教师、学生","诊断、个性化学习路径、教师数据看板","学校采购","个性化练习应以诊断数据驱动","https://www.century.tech/"
海外,Knewton Alta,高校自适应课程,"高校学生、教师","自适应作业、学习路径、开放教育资源整合","高校课程材料","高校场景重视课程包和成本可控","https://www.wiley.com/en-us/education/alta"
海外,Quizizz AI,测验/课堂互动,"教师、学生","AI生成测验、课堂互动、学习报告","教师个人/学校版","快速生成低风险练习题可作为入门能力","https://quizizz.com/ai"
海外,Google Gemini for Education,教育版通用AI助手,"学校、教师、学生、管理员","Gemini教育版、Workspace集成、管理与数据保护","学校订阅","提供组织级权限、合规和数据控制","https://edu.google.com/ai/gemini-for-education/"
海外,Microsoft Copilot for Education,教育版通用AI助手,"教师、学生、学校管理员","Copilot、Microsoft 365/Teams集成、教育场景提示","学校订阅","与办公/课堂协作软件集成很关键","https://www.microsoft.com/en-us/education/products/copilot"
海外,ChatGPT Edu,高校版通用AI助手,"高校、研究人员、学生、教职工","企业级ChatGPT、校园管理、安全控制、数据保护","高校采购","大模型底座可作为校园级AI能力入口","https://openai.com/chatgpt/education/"
海外,Turnitin,学术诚信/写作评价,"高校、教师、学生","相似性检测、写作反馈、AI写作检测/学术诚信工作流","高校采购","实训作品需考虑原创性、引用和过程留痕","https://www.turnitin.com/"
