编号,角色,模块,页面/状态,URL,截图路径,DOM摘要路径,备注
T01,教师端,工作台,工作台,https://zpzl.lhrj.cn/#/workbench,screenshots/teacher/01_workbench.png,dom/teacher/01_workbench.md,教师端首页和数据概览
T02,教师端,AI智课,课程中心,https://zpzl.lhrj.cn/#/courseList,screenshots/teacher/02_course_list_ai_zhike.png,dom/teacher/02_course_list_ai_zhike.md,课程中心主页面
T03,教师端,班级管理,班级管理,https://zpzl.lhrj.cn/#/classManagement,screenshots/teacher/03_class_management.png,dom/teacher/03_class_management.md,班级管理主页面
T04,教师端,实训中心,实训中心,https://zpzl.lhrj.cn/#/practicalTrainingCenter,screenshots/teacher/04_practical_training_center.png,dom/teacher/04_practical_training_center.md,实训空间主页面
T05,教师端,人才培养,人才培养,https://zpzl.lhrj.cn/#/talentCultivation,screenshots/teacher/05_talent_development.png,dom/teacher/05_talent_development.md,产业能力研究中心
T06,教师端,能力图谱,能力图谱,https://zpzl.lhrj.cn/#/capabilityMap,screenshots/teacher/06_capability_map.png,dom/teacher/06_capability_map.md,岗位能力图谱
T07,教师端,教务管理,教务管理,https://zpzl.lhrj.cn/#/educationalSystem/teacher,screenshots/teacher/07_academic_affairs.png,dom/teacher/07_academic_affairs.md,教师侧教务入口
T08,教师端,AI智课,授权课程,https://zpzl.lhrj.cn/#/courseList,screenshots/teacher/02a_course_authorized.png,dom/teacher/02a_course_authorized.md,课程中心标签页
T09,教师端,AI智课,自建课程,https://zpzl.lhrj.cn/#/courseList,screenshots/teacher/02b_course_self_built.png,dom/teacher/02b_course_self_built.md,课程中心标签页
T10,教师端,AI智课,校内共享课程,https://zpzl.lhrj.cn/#/courseList,screenshots/teacher/02c_course_school_shared.png,dom/teacher/02c_course_school_shared.md,课程中心标签页
T11,教师端,AI智课,自定义建课弹窗,https://zpzl.lhrj.cn/#/courseList,screenshots/teacher/02d_modal_custom_course.png,dom/teacher/02d_modal_custom_course.md,建课入口
T12,教师端,AI智课,导入AI课程弹窗,https://zpzl.lhrj.cn/#/courseList,screenshots/teacher/02e_modal_import_ai_course.png,dom/teacher/02e_modal_import_ai_course.md,导课入口
T13,教师端,AI智课,智能建课/虚拟教研室,https://aizk.lhrj.cn/aiCourse,screenshots/teacher/02f_modal_smart_course.png,dom/teacher/02f_modal_smart_course.md,智能建课实际跳转到虚拟教研室子系统
T14,教师端,AI智课,课程详情：大模型场景应用开发,https://zpzl.lhrj.cn/#/teachingRoom/courseEdit/courseResource,screenshots/teacher/02g_course_detail_llm_scene_dev.png,dom/teacher/02g_course_detail_llm_scene_dev.md,课程资源/目录样本
T15,教师端,实训中心,我的作品,https://zpzl.lhrj.cn/#/practicalTrainingCenter,screenshots/teacher/04a_practice_my_works.png,dom/teacher/04a_practice_my_works.md,实训中心标签页
T16,教师端,实训中心,实训广场,https://zpzl.lhrj.cn/#/practicalTrainingCenter,screenshots/teacher/04b_practice_square.png,dom/teacher/04b_practice_square.md,实训中心标签页
T17,教师端,实训中心,我的实训,https://zpzl.lhrj.cn/#/practicalTrainingCenter,screenshots/teacher/04c_practice_my_training.png,dom/teacher/04c_practice_my_training.md,实训中心标签页
T18,教师端,班级管理,班级列表,https://zpzl.lhrj.cn/#/classManagement,screenshots/teacher/03a_class_management_list.png,dom/teacher/03a_class_management_list.md,班级卡片列表
T19,教师端,班级管理,创建班级弹窗,https://zpzl.lhrj.cn/#/classManagement,screenshots/teacher/03b_modal_create_class.png,dom/teacher/03b_modal_create_class.md,开班流程入口
T20,教师端,班级管理,去上课课堂空间样本,https://zpzl.lhrj.cn/#/teachingSpace/classDictory/index,screenshots/teacher/03c_class_teaching_space_sample.png,dom/teacher/03c_class_teaching_space_sample.md,教师班课空间样本
S01,学生端,工作台,工作台,https://zpzl.lhrj.cn/#/stuWorkbench,screenshots/student/01_stu_workbench.png,dom/student/01_stu_workbench.md,学生端首页
S02,学生端,课程中心,课程中心,https://zpzl.lhrj.cn/#/stuCourseCenter,screenshots/student/02_stu_course_center.png,dom/student/02_stu_course_center.md,学生课程入口
S03,学生端,实训中心,实训中心,https://zpzl.lhrj.cn/#/practicalTrainingCenter,screenshots/student/03_stu_practice_center.png,dom/student/03_stu_practice_center.md,学生实训入口
S04,学生端,成长中心,成长中心,https://zpzl.lhrj.cn/#/stuGrowthCenter,screenshots/student/04_stu_growth_center.png,dom/student/04_stu_growth_center.md,学生成长/能力页面
S05,学生端,产教融合,产教融合,https://zpzl.lhrj.cn/#/cjrh,screenshots/student/05_stu_industry_education.png,dom/student/05_stu_industry_education.md,现场育人/交易平台入口
S06,学生端,工作台,加入班级弹窗,https://zpzl.lhrj.cn/#/stuWorkbench,screenshots/student/06_modal_join_class.png,dom/student/06_modal_join_class.md,学生加入班级入口
S07,学生端,课程学习,课程学习空间样本,https://zpzl.lhrj.cn/#/learningSpace/digitalCourse,screenshots/student/07_stu_course_learning_space_sample.png,dom/student/07_stu_course_learning_space_sample.md,学生数字课程样本
S08,学生端,实训任务,实训任务详情样本,https://zpzl.lhrj.cn/#/practicalTrainingDetail,screenshots/student/08_stu_training_task_detail_sample.png,dom/student/08_stu_training_task_detail_sample.md,任务描述和关卡
S09,学生端,实训任务,任务成果标签,https://zpzl.lhrj.cn/#/practicalTrainingDetail,screenshots/student/09_stu_training_task_result_tab.png,dom/student/09_stu_training_task_result_tab.md,任务成果入口
S10,学生端,实训任务,继续挑战/工具入口,https://zpzl.lhrj.cn/#/completeTask,screenshots/student/10_stu_training_challenge_tool_entry.png,dom/student/10_stu_training_challenge_tool_entry.md,学生完成任务工具入口
